rh_percent,cathode_solid_potential_v,dI_dRH_ma_per_percent,dlnI_dlnsigma
10.0,0.62,0.4127649033681581,0.35473999773914455
30.0,0.62,0.27374688045666934,0.34420710087279094
50.0,0.62,0.18208548724134074,0.2856406425772473
70.0,0.62,0.25631141982815214,0.23567277254104624
90.0,0.62,0.28318072271880335,0.20964981484603934
10.0,0.7,0.10428609007961996,0.23174846713528627
30.0,0.7,0.06595342506907088,0.21896298137365958
50.0,0.7,0.034053587725162066,0.1540357348454046
70.0,0.7,0.04024413557838437,0.11334679338632828
90.0,0.7,0.04000185576496644,0.09355875448417057
10.0,0.768,0.019795193072611166,0.11717059651885248
30.0,0.768,0.012043394175295511,0.10811187388249284
50.0,0.768,0.004959649472915386,0.06527409210788492
70.0,0.768,0.005238318130752003,0.04444352496616352
90.0,0.768,0.004848932593653087,0.034862137468053236
10.0,0.83,0.0029980044570114724,0.04892255839418263
30.0,0.83,0.0017874034071266613,0.04455139453637354
50.0,0.83,0.0006468123511633572,0.024624153904849035
70.0,0.83,0.0006496745478102954,0.01618100938240704
90.0,0.83,0.0005825267505357265,0.012405690214820105
