rh,cathode_solid_potential_v,mpi_ranks,stop_time_s,pass,lambda_cl_max,sigma_m_max_s_per_m,mean_c_o2_mol_per_m3,mean_eta_v,total_reaction_current_a,j_orr_max_a_per_m3,phi_m_min_v,phi_m_max_v
0.1,0.62,8,0.0064,True,1.4614908919647982,0.48562351695814077,7.262713695700604,-0.5550783907813508,0.020619058365522542,2395403644.119728,-0.08939637581127562,0.0018259236156920504
0.1,0.7,8,0.0064,True,1.4614908919647982,0.4856235169581407,7.406148564260699,-0.4776342257963335,0.008476416600132963,602300660.8484715,-0.04309219925316221,0.0006637473803278395
0.1,0.768,8,0.0064,True,1.4614908919647982,0.4856235169581407,7.466630145198713,-0.41100350504080824,0.003365217169491595,181295073.38107264,-0.018314980025912066,0.00023318262297988948
0.1,0.83,8,0.0064,True,1.4614908919647982,0.4856235169581407,7.491469984866319,-0.3496193858943801,0.0012613851997133518,59669624.96420601,-0.007037972795031309,8.045789318502515e-05
0.3,0.62,8,0.0064,True,2.771482728074196,1.2547439941597707,7.166910446821987,-0.5574636436506782,0.028874356432885703,2373584844.4857235,-0.05891508526739608,0.00463581222652111
0.3,0.7,8,0.0064,True,2.771482728074196,1.2547439941597707,7.38224444721137,-0.47891971216251034,0.010562138401725362,601491150.5178531,-0.024317173089350604,0.0017965632324269372
0.3,0.768,8,0.0064,True,2.771482728074196,1.2547439941597707,7.462160053790339,-0.4115929578286693,0.0037611210309438183,181304493.20065352,-0.00910622938662416,0.0006584715073772494
0.3,0.83,8,0.0064,True,2.771482728074196,1.2547439941597707,7.490800170245135,-0.34985412568520735,0.0013213452888535813,59676957.28174647,-0.0032604275494242975,0.0002339272081474604
0.5,0.62,8,0.0064,True,3.485478278442218,1.6739440099780627,7.135478747015125,-0.558152799996319,0.031568933583789316,2365556046.777073,-0.05047150008120425,0.004207303670323296
0.5,0.7,8,0.0064,True,3.485478278442218,1.6739440099780627,7.375837636282842,-0.47923881525303647,0.011114553602895798,601241995.8477933,-0.01975944307250853,0.001546463880298428
0.5,0.768,8,0.0064,True,3.485478278442218,1.6739440099780627,7.461169780697209,-0.41172147112176627,0.0038469529365034155,181305946.61822844,-0.007135139830912931,0.0005480220532554559
0.5,0.83,8,0.0064,True,3.485478278442218,1.6739440099780627,7.4906674653531,-0.3499016348146832,0.0013328813359984183,59678523.158943094,-0.002510744127498382,0.000191672156321367
0.7,0.62,8,0.0064,True,5.331466774211645,2.757758056477458,7.081827158687322,-0.5592475554268407,0.03615777592253933,2350935784.88355,-0.037413550013117684,0.0027329265019141215
0.7,0.7,8,0.0064,True,5.331466774211645,2.757758056477458,7.366403923247428,-0.47969227223832694,0.011924281910731844,600841691.464504,-0.013392997087248225,0.0008954879477334047
0.7,0.768,8,0.0064,True,5.331466774211645,2.757758056477458,7.459861957057091,-0.4118907400593781,0.003959507009860434,181306121.0865684,-0.004582185754034609,0.0002985924364592531
0.7,0.83,8,0.0064,True,5.331466774211645,2.757758056477458,7.4905011029825,-0.3499620092766644,0.0013472177829001156,59680372.8998469,-0.0015752103459255149,0.0001018215896451791
0.9,0.62,8,0.0064,True,10.037437446525256,5.520720625722401,7.01546115496448,-0.5605069927098515,0.0418213903769154,2331308729.366231,-0.023254772921500914,0.0014828068325563242
0.9,0.7,8,0.0064,True,10.037437446525256,5.520720625722401,7.357047708630766,-0.4801322163894912,0.012724319026031173,600396640.4344953,-0.007449859899882528,0.00041787533307068416
0.9,0.768,8,0.0064,True,10.037437446525256,5.520720625722401,7.458729080511963,-0.41203992650761223,0.0040564856617334956,181303325.18658105,-0.002414885546842314,0.0001305757622915854
0.9,0.83,8,0.0064,True,10.037437446525256,5.520720625722401,7.4903650670895265,-0.3500131369876606,0.00135886831791083,59681625.263219506,-0.0008133108637516288,4.348067558784111e-05
